index,predictions
471,"['&', 'MATH 203', 'MATH 223', 'MATH 323', ['|', 'COMP 133', 'COMP 215', 'COMP 222', 'COMP 248']]"
75,'BIOL 200'
1784,['EDEA 442']
441,"['|', 'BIOL 202', 'BIOL 302', 'BIOL 300', 'BIOL 370', 'Permission']"
2839,['INFS 617']
3660,'MUMT 202'
1402,"""‘DENT 106J1’"""
3527,"['|', ['&', 'MUTH 110', 'MUSP 129', 'MUHL 184'], ['&', 'MUTH 111', 'MUSP 131', 'MUHL 185'], ['&', 'MUTH 151', 'MUSP 140', 'MUHL 186'], ['&', 'MUTH 151', 'MUSP 141', 'MUHL 286']]"
3260,"['|', 'MECH 309', ['&', 'MATH 317', 'MECH 533']]"
935,"['|', ['&', 'CHEE 310', 'CHEE 380'], ['&', 'CHEM 233', '&', 'MIME 261', 'MIME 317']]"
1889,"['&', 'EDKP 442']"
158,"['&', 'ANTH 201', 'ANTH 357']"
152,"['&', 'ANTH 227', ['|', ""'Honours in Anthropology'"", ""'Major in Anthropology'"", ""'Minor in Anthropology'"", ""'Minor Concentration in Social Studies of Medicine'"", ""'Permission of instructor'""]]"
4022,['NUTR 682D1']
93,"['|', ['|', 'ANAT 212', ['|', 'BIOC 212', 'BIOL 201']], 'ANAT 261', 'ANAT 262']"
3513,['MUCO 341']
1484,"['|', 'EAST 230', 'equivalent', 'permission of the instructor']"
3402,"['|', 'MIME 465', ['string', 'instructor permission']]"
3858,"['&', 'NUR1 318']"
1373,['DENT 220D1']
1680,['ECSE 458D1']
2773,'INDR 294'
2016,"['&', 'EDPE 683', ['>=', 'B-']]"
4583,'SCSD 611D1'
472,"['|', 'MATH 203', 'MATH 223', 'MATH 323', ['&', 'COMPUTER PROGRAMMING', ['|', 'MATH 222', 'MATH 204']]]"
1638,['ECSE 324']
2,"['&', 'ACCT 351', 'MGCR 341']"
2575,"['|', 'HISP 241', 'HISP 242', 'HISP 243', 'HISP 244']"
661,"['|', ['&', 'CCFA 627', 'exemption by examination'], ['&', 'CCFA 655', 'exemption by examination']]"
410,"['|', 'BIOL 215', ['&', 'ENVR 200', 'ENVR 202']]"
51,"['|', 'AEMA 102', ['|', 'MATH 141', 'higher level calculus course'], '00UP']"
50,"['|', 'AEPH 112', 'AEPH 113', 'PHYS 101', 'PHYS 131', ['\'', '00UR'], 'permission of instructor']"
3193,"['|', 'MATH 576', ['&', 'MATH 456', 'permission of instructor']]"
3604,'MUIN 251'
243,"['&', 'ARTH 606', 'ARTH 607', ['|', 'ARTH 608', 'ARTH 608']]"
3732,['MUSR 300D1']
1004,"['&', 'CHEM 302', ['|', 'BIOL 200', 'CHEM 332']]"
478,['AEMA 305']
965,"['|', 'CHEM 212', 'equivalent.']"
3853,['NUR1 332']
4620,'SOCI 210'
123,"['|', 'ANTH 202', 'ANTH 205', 'ANTH 206', 'ANTH 212', 'permission of instructor']"
2392,"['&', ['|', 'INSY 660', 'INSY 662', ""Instructor's approval""], ['|', 'MGSC 660', 'MGSC 661', ""Instructor's approval""]]"
2321,"['&', 'FAES 405', 'permission of instructor']"
4512,"['|', 'RELG 265', ['permission of the instructor']]"
37,"['&', 'AEBI 421', 'AEBI 425', 'AEBI 427']"
258,"['&', 'EPSC 373', 'GEOG 373', ['|', 'ATOC 473', 'EPSC 473', 'GEOG 473']]"
850,'CENT 300'
1923,['EDKP 261']
2262,'EPSC 303'
3728,"['|', 'MUSP 324', 'MUSP 330', 'MUSP 335', 'MUSP 346', 'MUSP 350', 'MUSP 353', 'MUSP 354', 'MUSP 355', 'MUSP 381']"
2514,'GEOG 698D1'
2149,'ENGL 275'
475,"['|', ['&', 'PHYS 241', ['|', 'ECSE 304', 'ECSE 306']], ['|', 'PHYS 242', 'ECSE 251']]"
128,"['|', 'ANTH 202', 'ANTH 227']"
4646,['SURG 402D1']
3691,'MUPG 607D1'
3289,"['|', 'MGCR 271', 'equivalent']"
400,"['|', 'BIOL 305', 'equivalent', 'permission of instructor']"
4056,['ORGD 633']
3720,'MUSP 241'
1701,'ECSE 509'
1055,'CIVE 290'
461,"['&', 'MATH 533 Analysis of Variance and Regression', 'MATH 523 Generalized Linear Models']"
3726,'MUSP 241'
543,['BUSA 647D1']
3491,"['|', 'MUAR 201', 'permission of instructor']"
1952,"['|', 'EDKP 206', 'Permission of Instructor']"
4039,'OCC1 618'
2587,"['|', ['&', 'HISP 241', 'Successful completion of any Survey of Literature'], ['&', 'HISP 242', 'Successful completion of any Survey of Literature'], ['&', 'HISP 243', 'Successful completion of any Survey of Literature'], ['&', 'HISP 244', 'Successful completion of any Survey of Literature']], 'permission of the instructor']"
3949,'NUR3 668'
3914,'NUR2 653'
145,"['|', 'ANTH 339', 'ANTH 349', 'SOCI 328', 'GEOG 300', 'GEOG 302', 'permission of instructor']"
285,"['|', ['&', 'BASC 201', ['&', 'at least one term of undergraduate studies', ['&', 'a CGPA of at least 3.0', 'permission of instructor']]]]"
3131,"['|', ['|', ['|', 'MATH 223', 'MATH 247'], 'MATH 236'], 'MATH 251'], ['|', 'MATH 248', ['|', 'MATH 314', 'MATH 358']], ['|', 'MATH 243', 'MATH 255']]"
736,"['&', 'CEEN 211', 'CEEN 212', ['|', 'Entrance Placement Test', 'Permission of the Director']]"
4236,['PHYS 690N1']
1883,"['&', 'EDEA 407']"
3613,'MUIN 452D1'
4615,"['|', 'SOCI 210', 'permission from instructor']"
2786,['INDS 123D1']
2992,'ITAL 690N1'
260,"['&', 'GEOG 373', 'EPSC 373', 'ATOC 373']"
2332,"['|', 'FDSC 213', 'permission of instructor']"
85,"['&', 'ANAT 261', ['|', 'BIOL 202', ""permission of instructor""]]"
2922,"['|', 'ISLA 200', 'permission of instructor.']"
2161,"[""ENGL 491N1""]"
3136,"['&', 'COMP 202', ['|', 'MATH 223', 'MATH 236'], ['|', 'MATH 314', 'equivalent']]"
457,"['&', 'Permission of instructor.', ['|', 'MATH 242', 'STAT 242', 'MATH 324']]"
2090,['EDSP 682D1']
2440,"['|', 'GEOG 340', 'ATOC 341', 'BIOL 343']"
1385,'DENT 310J1'
3791,"['&', 'NRSC 621']"
1959,['EDKP 693D1']
1264,"['|', ['|', 'COMP 251', 'COMP 302'], 'COMP 520']"
4394,"['|', 'PSYC 305', 'Departmental approval is required.']"
4216,'PHYS 251'
398,"['&', ['|', 'BIOL 215', ['&', 'ENVR 200', 'ENVR 202']], 'BIOL 205']"
1998,"['|', 'PSYC 213', 'permission of the instructor']"
3312,"['&', ['|', 'INSY 660', 'INSY 662', 'Instructor''s approval'], ['|', 'MGSC 660', 'MGSC 661', 'Instructor''s approval']]"
1285,"['|', 'COMS 210', 'permission of the instructor']"
1564,"['|', ['&', 'ECON 230D1', 'ECON 230D2', 'ECON 227D1', 'ECON 227D2'], ""'permission of the instructor.'""]"
2630,[]
219,"['&', 'ARCH 604', 'ARCH 623']"
256,"['|', 'ATOC 214', 'permission of instructor']"
1370,'DENT 213D1'
22,"['&', ['|', 'INSY 660', 'INSY 662', ""Instructor's approval""], ['|', 'MGSC 660', 'MGSC 661', ""Instructor's approval""]]"
2037,['EDPE 725D1']
34,"['|', 'ACCT 683', 'ACCT 685', 'ACCT 687', 'ACCT 689']"
2597,'HISP 697D1'
4198,"['|', 'CEGEP physics', 'PHYS 142']"
45,"['|', 'AEMA 310', 'equivalent']"
2361,['MGCR 341']
2245,"['|', ['&', 'EPSC 203', 'EPSC 210', 'EPSC 212'], ['&', 'EPSC 220', ['|', 'EPSC 300', 'EPSC 305', 'EPSC 320', 'EPSC 325', 'EPSC 400', 'EPSC 401', 'EPSC 402', 'EPSC 403', 'EPSC 412', 'EPSC 415', 'EPSC 417', 'EPSC 418', 'EPSC 480', 'EPSC 483']]]"
4604,'SOCI 211'
2994,'ITAL 691N1'
3105,"['&', 'MATH 208', ['|', 'MATH 223', 'MATH 236', 'MATH 247', 'MATH 251'], ['|', 'MATH 323', 'MATH 356']]"
1473,['DENT 786D1']
907,['CHEE 220']
3258,"['&', 'MECH 430']"
2034,'EDPE 723D1'
2577,"[""|"", ""HISP 241"", ""HISP 242"", ""HISP 243"", ""HISP 244""]"
107,"['|', ['&', 'AEMA 310', 'LSCI 204'], 'equivalents', ""Instructor's permission""]"
670,['CCFC 515']
29,"['&', 'ACCT 653', 'ACCT 654', 'ACCT 663', 'ACCT 664']"
4059,"['&', ['|', 'INSY 660', 'INSY 662', 'Instructor''s approval'], ['|', 'MGSC 660', 'MGSC 661', 'Instructor''s approval']]"
2827,"['&', 'INFS 603', 'INFS 604', 'INFS 611']"
3299,'MGCR 628J2'
7,'MGCR 211'
105,"['|', 'LSCI 202', 'LSCI 204', 'ANSC 234']"
978,"['|', 'CHEM 302']"
3802,['NSCI 400N1']
4152,"['&', 'PHTH 301D1', 'PHTH 245', 'ANAT 315', 'PHGY 209', 'ANAT 316', 'PHGY 210', 'POTH 225', 'POTH 250']"
3156,"['|', 'MATH 456', 'permission of the instructor']"
3662,['MUMT 306']
1289,"['|', ['&', 'COMS 200', 'COMS 210', 'COMS 230'], ['&', 'COMS 300', 'COMS 310', 'COMS 320', 'COMS 330', 'COMS 340', 'COMS 350', 'COMS 354', 'COMS 361', 'COMS 362', 'COMS 365']]"
154,"['&', 'ANTH 357', 'ANTH 359']"
541,"[['&', 'MBA Core', ['MGCR 629'; 'MGCR 650'; 'MGCR 651'; 'MGCR 652'; 'MGCR 653']], '&', 'Law year I', 'Law year II']"
106,"['&', 'LSCI 211', 'ANSC 323']"
28,"['&', 'ACCT 653', 'ACCT 654', 'ACCT 663', 'ACCT 664']"
92,"['&', 'ANAT 214', 'ANAT 314']"
794,"['&', 'CEGL 171']"
995,"['|', 'CHEM 396', 'CHEM 470']"
1363,['DENT 101J1']
4724,['WRIT 334D1']
3088,"['|', 'MATH 133', 'equivalent']"
2105,'EDPS 600'
525,['BUS2 463']
3273,"['|', 'MATH 271', 'permission of instructor']"
90,"[['|', 'BIOC 212', 'ANAT 212', 'BIOL 201'], 'ANAT 262', [['|', 'PHGY 209', 'BIOL 205'], [['|', 'BIOC 312', 'ANAT 365'], 'BIOC 311']]"
3231,"['|', ['|', 'MECH 240', 'BREE 301'], ['|', 'MECH 331', 'BREE 305'], ['|', 'MATH 271', 'BREE 319']]"
1305,['CORG 556D1']
