,index,instruction
36,4402,"###User:
Prerequisite: PSYC 488D1.

###Answer:
'PSYC 488D1'"
37,2189,"###User:
Prerequisite: ENVR 495D1.

###Answer:
'ENVR 495D1'"
38,1126,"###User:
Corequisite: CLAS 681

###Answer:
'CLAS 681'"
39,4125,"###User:
Prerequisite: Knowledge of differential equations at the MATH 315 level or equivalent.

###Answer:
'MATH 315'"
40,1529,"###User:
Prerequisite: EAST 700D1

###Answer:
'EAST 700D1'"
41,3245,"###User:
Prerequisite: MECH 292 

###Answer:
'MECH 292'"
42,3528,"###User:
Prerequisites: MUTH 211, MUSP 229, MUCT 235 and MUGT 215; or MUTH 250, MUSP 240, MUCT 235 and MUGT 215; or permission of instructor

###Answer:
['|', ['&', 'MUTH 211', 'MUSP 229', 'MUCT 235', 'MUGT 215'], ['&', 'MUTH 250', 'MUSP 240', 'MUCT 235', 'MUGT 215']]"
43,4711,"###User:
Prerequisite: WRIT 004D1

###Answer:
'WRIT 004D1'"
44,134,"###User:
Prerequisite: ANTH 204, or ANTH 206, or SOCI 328, or GEOG 300 or ENVR 201, or ENVR 203, or permission of instructor

###Answer:
['|', 'ANTH 204', 'ANTH 206', 'SOCI 328', 'GEOG 300', 'ENVR 201', 'ENVR 203']"
45,567,"###User:
Corequisite: CHLC 500

###Answer:
'CHLC 500'"
46,1064,"###User:
Prerequisites: MATH 262, COMP 208 (a D grade is acceptable for prerequisite purposes)

###Answer:
['&', 'MATH 262', 'COMP 208']"
47,758,"###User:
Prerequisites: CEEN 331 and CEEN 332 or Entrance Placement Test or Permission of the Director

###Answer:
['&', 'CEEN 331', 'CEEN 322']"
48,385,"###User:
Prerequisite: BIOL 205 or permission of instructor.

###Answer:
'BIOL 205'"
49,1965,"###User:
Prerequisite: EDPC 208 

###Answer:
'EDPC 208'"
50,3112,"###User:
Prerequisites: MATH 223 or MATH 236, MATH 314 or equivalent, MATH 315

###Answer:
['&', ['|', 'MATH 223', 'MATH 236'], 'MATH 314', 'MATH 315']"
51,2826,"###User:
Prerequisites: INFS 603, INFS 604, INFS 611

###Answer:
['&', 'INFS 603', 'INFS 604', 'INFS 611']"
52,1601,"###User:
Prerequisite(s): ECON 257D1/D2 or permission of the instructor.

###Answer:
'ECON 257D1'"
53,840,"###User:
Corequisite(s): CEGL 392

###Answer:
'CEGL 392'"
54,1492,"###User:
Prerequisite: EAST 211.

###Answer:
'EAST 211'"
55,1535,"###User:
Prerequisite: ECON 230D1

###Answer:
'ECON 230D1'"
56,1513,"###User:
Prerequisite: EAST 530D1

###Answer:
'EAST 530D1'"
57,2210,"###User:
Prerequisite(s): EPIB 621, or equivalent, or permission of the instructor.

###Answer:
'EPIB 621'"
58,3699,"###User:
Prerequisite: MUPG 670

###Answer:
'MUPG 670'"
59,3520,"###User:
Prerequisite: MUCO 340D1/D2 or MUTH 350

###Answer:
['|', ['&', 'MUCO 340D1', 'MUCO 340D2'], 'MUTH 350']"
60,1371,"###User:
Prerequisite: DENT 215D1

###Answer:
'DENT 215D1'"
61,293,"###User:
Prerequisite(s): BIOL 112; CHEM 110 and CHEM 120; MATH 140, MATH 141 and MATH 133; PHYS 131 and PHYS 142; or the equivalents of these courses

###Answer:
['&', 'BIOL 112', 'CHEM 110', 'CHEM 120', 'MATH 140', 'MATH 141', 'MATH 133', 'PHYS 131', 'PHYS 142']"
62,4442,"###User:
Prerequisite: PSYC 690D1

###Answer:
'PSYC 690D1'"
63,403,"###User:
Corequisite: NRSC/BIOL 451 and ANTH/GEOG 451

###Answer:
['&', ['|', 'NRSC 451', 'BIOL 451'], ['|', 'ANTH 451', 'GEOG 451']]"
64,4278,"###User:
Prerequisite: POLI 244 or a course in American history

###Answer:
'POLI 244'"
65,2383,"###User:
Prerequisite: FINE 541N1

###Answer:
'FINE 541N1'"
66,2573,"###User:
Prerequisite: Successful completion of any Survey of Literature (HISP 241, HISP 242, HISP 243, HISP 244) or permission of the instructor.  Note: Course taught in Spanish.

###Answer:
['|', 'HISP 241', 'HISP 242', 'HISP 243', 'HISP 244']"
67,550,"###User:
Prerequisite: BUSA 651D1

###Answer:
'BUSA 651D1'"
68,640,"###User:
Prerequisites:  CCFA 505, (CCFA 515 or CCFA 615), (CMS2 521 or CMS2 621) and (CEC2 532 or CEC2 632)

###Answer:
['&', 'CCFA 505', ['|', 'CCFA 515', 'CCFA 615'], ['|', 'CMS2 521', 'CMS2 621'], ['|', 'CEC2 532', 'CEC2 632']]"
69,136,"###User:
Prerequisite: ANTH 201 or ANTH 202 or ANTH 205 or permission of instructor.

###Answer:
['|', 'ANTH 201', 'ANTH 202', 'ANTH 205']"
70,2944,"###User:
Prerequisite(s): ISLA 352D1/D2 or permission of the instructor.

###Answer:
'ISLA 352D1'"
71,1551,"###User:
Prerequisite: ECON 316.

###Answer:
'ECON 316'"
72,2139,"###User:
Prerequisite: ELEC 400.

###Answer:
'ELEC 400'"
73,1102,"###User:
Prerequisite: CIVE 311 or Permission of Instructor.

###Answer:
'CIVE 311'"
74,1953,"###User:
Prerequisites: EDKP 605 AND EDPE 676 or equivalent.

###Answer:
['&', 'EDKP 605', 'EDPE 676']"
75,671,"###User:
Prerequisite(s): (BUSA 364 or CCLW 511 or CCLW 611) and MGCR 211 or Departmental Approval

###Answer:
['&', ['|', 'BUSA 364', 'CCLW 511', 'CCLW 611'], 'MGCR 211']"
76,951,"###User:
Prerequisite: CHEE 796 

###Answer:
'CHEE 796'"
77,2140,"###User:
Prerequisite: ELEC 400.

###Answer:
'ELEC 400'"
78,521,"###User:
Prerequisite: BTEC 622.

###Answer:
'BTEC 622'"
79,715,"###User:
Prerequisites: CCTR 530

###Answer:
'CCTR 530'"
80,538,"###User:
Prerequisite(s): INSY 660, INSY 661, INSY 662, MGSC 660, MGSC 661, MGSC 662, ORGB 660, ORGB 661

###Answer:
['&', 'INSY 660', 'INSY 661', 'INSY 662', 'MGSC 660', 'MGSC 661', 'MGSC 662', 'ORGB 660', 'ORGB 661']"
81,263,"###User:
Prerequisite (Undergraduate): MATH 314, MATH 315, a previous course in fluid dynamics (such as ATOC 512), or permission of instructor

###Answer:
['&', 'MATH 314', 'MATH 315', 'ATOC 512']"
82,2721,"###User:
Prerequisite: HIST 565D1

###Answer:
'HIST 565D1'"
83,458,"###User:
Prerequisites: Permission of instructor.  MATH 556 and BIOS 601, or their equivalents.

###Answer:
['&', 'MATH 556', 'BIOL 601']"
84,1464,"###User:
Prerequisite: DENT 585J2

###Answer:
'DENT 585J2'"
85,3685,"###User:
Prerequisite: MUPG 541

###Answer:
'MUPG 541'"
86,952,"###User:
Prerequisite: CHEE 797

###Answer:
'CHEE 797'"
87,1069,"###User:
Corequisite: CIVE 302

###Answer:
'CIVE 302'"
88,144,"###User:
Prerequisite: ANTH 201 or ANTH 331 or ANTH 345 or ANTH 347 or ANTH 348 or permission of instructor

###Answer:
['|', 'ANTH 201', 'ANTH 331', 'ANTH 345', 'ANTH 347', 'ANTH 348']"
89,4217,"###User:
Prerequisite: PHYS 350.

###Answer:
'PHYS 350'"
90,1532,"###User:
Corequisites: ECON 208 and ECON 209 or ECON 230D1/D2 or ECON 250D1/D2.

###Answer:
['|', ['&', 'ECON 208', 'ECON 209'], 'ECON 230D1', 'ECON 230D2', 'ECON 250D1', 'ECON 250D2' ]"
91,104,"###User:
Prerequisite(s): ANSC 250 or ANSC 323 or PHGY 209

###Answer:
['|', 'ANSC 250', 'ANSC 323', 'PHGY 209']"
92,2396,"###User:
Prerequisite: FINE 673.

###Answer:
'FINE 673'"
93,3714,"###User:
Prerequisite: MUSP 170

###Answer:
'MUSP 170'"
94,3363,"###User:
Prerequisites: MIME 323 and instructor permission

###Answer:
'MIME 323'"
95,2515,"###User:
Prerequisite: GEOG 698N1

###Answer:
'GEOG 698N1'"
96,188,"###User:
Prerequisites: ARCH 250 and ARCH 251

###Answer:
['&', 'ARCH 250', 'ARCH 251']"
97,2913,"###User:
Prerequisite: ISLA 210 or permission of instructor.

###Answer:
'ISLA 210'"
98,1036,"###User:
Prerequisite: CHLC 401J1

###Answer:
'CHLC 401J1'"
99,2590,"###User:
Prerequisite: Successful completion of any Survey of Literature (HISP 241, HISP 242, HISP 243, HISP 244) or permission of the instructor. Note: Course taught in Spanish.

###Answer:
['|', 'HISP 241', 'HISP 242', 'HISP 243', 'HISP 244']"
100,1397,"###User:
Prerequisite: DENT 318J1

###Answer:
'DENT 318J1'"
101,2881,"###User:
Prerequisite(s): INSY 642

###Answer:
'INSY 642'"
102,1407,"###User:
Prerequisite: DENT 323J2

###Answer:
'DENT 323J2'"
103,3219,"###User:
Prerequisite: MDPH 691D1

###Answer:
'MDPH 691D1'"
104,103,"###User:
Prerequisite: ANSC 250 (or equivalent, or permission)

###Answer:
'ANSC 250'"
105,3150,"###User:
Prerequisite: MATH 255.

###Answer:
'MATH 255'"
106,3397,"###User:
Prerequisite: MIME 362 or equivalent 

###Answer:
'MIME 362'"
107,192,"###User:
Prerequisite: ARCH 303 

###Answer:
'ARCH 303'"
108,160,"###User:
Prerequisites: ANTH 357 or ANTH 359.

###Answer:
['|', 'ANTH 357', 'ANTH 359']"
109,259,"###User:
Prerequisite(s): PHYS 230 or PHYS 251, PHYS 232 or PHYS 253, MATH 315 or MATH 325, and MATH 222

###Answer:
['&', ['|', 'PHYS 230', 'PHYS 251'], ['|', 'PHYS 232', 'PHYS 253'], ['|', 'MATH 315', 'MATH 325'], 'MATH 222']"
110,3367,"###User:
Prerequisite(s): MIME 422 and (MIME 421 or MPMC 321) and (MIME 424 or MPMC 421)

###Answer:
['&', 'MIME 422', ['|', 'MIME 421', 'MPMC 321'], ['|', 'MIME 424', 'MPMC 421']]"
111,335,"###User:
Prerequisites: BIOC 212 or ANAT 212 or BIOL201, ANAT 262, one of PHGY 209 or BIOL 205; one of BIOC 312 or ANAT 365; BIOC 311 recommended

###Answer:
['&', ['|', 'BIOC 212', 'ANAT 212', 'BIOL 201'], 'ANAT 262', ['|', 'PHYG 209', 'BIOL 205'], ['&', 'BIOC 312', 'ANAT 365']]"
112,485,"###User:
Prerequisite: BREE 341 (formerly ABEN 341)

###Answer:
'BREE 341'"
113,187,"###User:
Prerequisites: ARCH 250 and ARCH 251

###Answer:
['&', 'ARCH 250', 'ARCH 251']"
114,3221,"###User:
Prerequisites: MECH 210, MATH 262. Pre-/Co-requisite: MATH 263.

###Answer:
['&', 'MECH 210', 'MATH 262', 'MATH 263']"
115,191,"###User:
Prerequisite: ARCH 202 or permission of instructor 

###Answer:
'ARCH 202'"
116,2896,"###User:
Prerequisite: ISLA 232D1

###Answer:
'ISLA 232D1'"
117,185,"###User:
Prerequisite(s): ARCH 221

###Answer:
'ARCH 221'"
118,1727,"###User:
Prerequisite: ECSE 335 and permission of the instructor.

###Answer:
'ECSE 335'"
119,3284,"###User:
Prerequisites: MECH 452 or MECH 605 or equivalent, and MECH 562 or MECH 610 or equivalent.

###Answer:
['&', ['|', 'MECH 452', 'MECH 605'], ['|', 'MECH 562', 'MECH 610']]"
120,3904,"###User:
Prerequisite: NUR2 631

###Answer:
'NUR2 631'"
121,3447,"###User:
Prerequisite(s): MIMM 211, MIMM 212, MIMM 214 (MIMM 384 highly recommended).

###Answer:
['&', 'MIMM 211', 'MIMM 212', 'MIMM 214']"
122,1870,"###User:
Prerequisites: EDEE 275, EDEE 223, EDEE 250, EDEE 282, EDEC 215, (EDFE 256 or EDFE 256D1/D2), (EDEC 253 or EDEC 253D1/D2).

###Answer:
['&', 'EDEE 275', 'EDEE 223', 'EDEE 250', 'EDEE 282', 'EDEC 215', ['|', 'EDFE 256', ['&', 'EDFE 256D1', 'EDFE 256D2']], ['|', 'EDEC 253', ['&', 'EDEC 253D1', 'EDEC 253D2']]]"
123,1575,"###User:
Prerequisites: ECON 230 or ECON 250 and one of ECON 227, ECON 257 

###Answer:
['&', ['|', 'ECON 230', 'ECON 250'], 'ECON 227', 'ECON 257']"
124,3705,"###User:
Prerequisite: MUEN 556 or equivalent or permission of the instructor

###Answer:
'MUEN 556'"
125,3611,"###User:
Prerequisite: MUIN 450

###Answer:
'MUIN 450'"
126,210,"###User:
Prerequisite: ARCH 251 or permission of instructor 

###Answer:
'ARCH 251'"
127,3076,"###User:
Prerequisite: LING 671

###Answer:
'LING 671'"
128,420,"###User:
Prerequisite: BIOL 469D1.

###Answer:
'BIOL 469D1'"
129,2299,"###User:
Prerequisite: EXSU 691N1

###Answer:
'EXSU 691N1'"
130,4729,"###User:
Prerequisite: WRIT 450

###Answer:
'WRIT 450'"
131,3383,"###User:
Prerequisites: (CHEM 233 and MIME 261 and MIME 317) or (CHEE 310 and CHEE 380) or permission of instructor

###Answer:
['|', ['&', 'CHEM 233', 'MIME 261', 'MIME 317'], ['&', 'CHEE 310', 'CHEE 380']]"
132,2810,"###User:
Prerequisite: INDS 320.

###Answer:
'INDS 320'"
133,2594,"###User:
Prerequisite: HISP 490D1

###Answer:
'HISP 490D1'"
134,31,"###User:
Prerequisite(s): Any two of the following:  ACCT 683, ACCT 685, ACCT 687, ACCT 689.

###Answer:
['|', ['&', 'ACCT 683', 'ACCT 685'], ['&', 'ACCT 683', 'ACCT 687'], ['&', 'ACCT 683', 'ACCT 689'], ['&', 'ACCT 685', 'ACCT 687'], ['&', 'ACCT 685', 'ACCT 689'], ['&', 'ACCT 687', 'ACCT 689']]"
135,4123,"###User:
Prerequisite: PHGY 311 

###Answer:
'PHGY 311'"
136,3922,"###User:
Prerequisite: NUR2 661 or permission of the instructor.

###Answer:
'NUR2 661'"
137,2593,"###User:
Prerequisite: Successful completion of any Survey of Literature (HISP 241, HISP 242, HISP 243, HISP 244) or permission of the instructor. Note: Course taught in Spanish.

###Answer:
['|', 'HISP 241', 'HISP 242', 'HISP 243', 'HISP 244']"
138,4676,"###User:
Prerequisite: SWRK 698D1

###Answer:
'SWRK 698D1'"
139,3622,"###User:
Prerequisite(s): MUIN 630

###Answer:
'MUIN 630'"
140,3240,"###User:
Prerequisites: MECH 220, CIVE 207, MATH 264, MATH 271.

###Answer:
['&', 'MECH 220', 'CIVE 207', 'MATH 264', 'MATH 271']"
141,4334,"###User:
Prerequisite: POTH 699D1

###Answer:
'POTH 699D1'"
142,1506,"###User:
Prerequisite: EAST 495D1

###Answer:
'EAST 495D1'"
143,3419,"###User:
Prerequisite: MIME 673N1

###Answer:
'MIME 673N1'"
144,4452,"###User:
Prerequisite: PSYC 707D1

###Answer:
'PSYC 707D1'"
145,3186,"###User:
Prerequisite: MATH 454

###Answer:
'MATH 454'"
146,2023,"###User:
Prerequisites: EDPE 704 - Advanced Research Seminar 1, EDPE 705 - Advanced Research Seminar 2, EDPE 706 - Advanced Research Seminar 3

###Answer:
['&', 'EDPE 704', 'EDPE 705', 'EDPE 706']"
147,4244,"###User:
Prerequisite: AEBI 210

###Answer:
'AEBI 210'"
148,2407,"###User:
Prerequisite(s): (INSY 660 OR INSY 662 OR Instructor's approval) AND (MGSC 660 OR MGSC 661 OR Instructor's approval)

###Answer:
['&', ['|', 'INSY 660', 'INSY 662'], ['|', 'MGSC 660', 'MGSC 661']]"
149,255,"###User:
Corequisites: BIOL 343, GEOG 340, FSCI 444 or permission of the Program Director

###Answer:
['&', 'BIOL 343', 'GEOG 340', 'FSCI 444']"
150,2578,"###User:
Prerequisite: Successful completion of any Survey of Literature (HISP 241, HISP 242, HISP 243, HISP 244) or permission of the instructor.

###Answer:
['|', 'HISP 241', 'HISP 242', 'HISP 243', 'HISP 244']"
151,257,"###User:
Prerequisite(s): Two courses from the following list: GEOG 203, GEOG 205,GEOG 272, GEOG 372, ENVR 200, ENVR 202, EPSC 203, EPSC 210, EPSC 212, EPSC 220, EPSC 233, ATOC 214, ATOC 215, ATOC 219, SOIL 300.

###Answer:
['|', ['&', 'GEOG 203', 'GEOG 205'], ['&', 'GEOG 203', 'GEOG 272'], ['&', 'GEOG 203', 'GEOG 372'], ['&', 'GEOG 203', 'ENVR 200'], ['&', 'GEOG 203', 'ENVR 202'], ['&', 'GEOG 203', 'EPSC 203'], ['&', 'GEOG 203', 'EPSC 212'], ['&', 'GEOG 203', 'EPSC 220'], ['&', 'GEOG 203', 'EPSC 233'], ['&', 'GEOG 203', 'ATOC 214'], ['&', 'GEOG 203', 'ATOC 215'], ['&', 'GEOG 203', 'ATOC 219'], ['&', 'GEOG 203', 'SOIL 300'], ['&', 'GEOG 205', 'GEOG 272'], ['&', 'GEOG 205', 'GEOG 372'], ['&', 'GEOG 205', 'ENVR 200'], ['&', 'GEOG 205', 'ENVR 202'], ['&', 'GEOG 205', 'EPSC 203'], ['&', 'GEOG 205', 'EPSC 212'], ['&', 'GEOG 205', 'EPSC 220'], ['&', 'GEOG 205', 'EPSC 233'], ['&', 'GEOG 205', 'ATOC 214'], ['&', 'GEOG 205', 'ATOC 215'], ['&', 'GEOG 205', 'ATOC 219'], ['&', 'GEOG 205', 'SOIL 300'], ['&', 'GEOG 272', 'GEOG 372'], ['&', 'GEOG 272', 'ENVR 200'], ['&', 'GEOG 272', 'ENVR 202'], ['&', 'GEOG 272', 'EPSC 203'], ['&', 'GEOG 272', 'EPSC 212'], ['&', 'GEOG 272', 'EPSC 220'], ['&', 'GEOG 272', 'EPSC 233'], ['&', 'GEOG 272', 'ATOC 214'], ['&', 'GEOG 272', 'ATOC 215'], ['&', 'GEOG 272', 'ATOC 219'], ['&', 'GEOG 272', 'SOIL 300'], ['&', 'GEOG 372', 'ENVR 200'], ['&', 'GEOG 372', 'ENVR 202'], ['&', 'GEOG 372', 'EPSC 203'], ['&', 'GEOG 372', 'EPSC 212'], ['&', 'GEOG 372', 'EPSC 220'], ['&', 'GEOG 372', 'EPSC 233'], ['&', 'GEOG 372', 'ATOC 214'], ['&', 'GEOG 372', 'ATOC 215'], ['&', 'GEOG 372', 'ATOC 219'], ['&', 'GEOG 372', 'SOIL 300'], ['&', 'ENVR 200', 'ENVR 202'], ['&', 'ENVR 200', 'EPSC 203'], ['&', 'ENVR 200', 'EPSC 212'], ['&', 'ENVR 200', 'EPSC 220'], ['&', 'ENVR 200', 'EPSC 233'], ['&', 'ENVR 200', 'ATOC 214'], ['&', 'ENVR 200', 'ATOC 215'], ['&', 'ENVR 200', 'ATOC 219'], ['&', 'ENVR 200', 'SOIL 300'], ['&', 'ENVR 202', 'EPSC 203'], ['&', 'ENVR 202', 'EPSC 212'], ['&', 'ENVR 202', 'EPSC 220'], ['&', 'ENVR 202', 'EPSC 233'], ['&', 'ENVR 202', 'ATOC 214'], ['&', 'ENVR 202', 'ATOC 215'], ['&', 'ENVR 202', 'ATOC 219'], ['&', 'ENVR 202', 'SOIL 300'], ['&', 'EPSC 203', 'EPSC 212'], ['&', 'EPSC 203', 'EPSC 220'], ['&', 'EPSC 203', 'EPSC 233'], ['&', 'EPSC 203', 'ATOC 214'], ['&', 'EPSC 203', 'ATOC 215'], ['&', 'EPSC 203', 'ATOC 219'], ['&', 'EPSC 203', 'SOIL 300'], ['&', 'EPSC 212', 'EPSC 220'], ['&', 'EPSC 212', 'EPSC 233'], ['&', 'EPSC 212', 'ATOC 214'], ['&', 'EPSC 212', 'ATOC 215'], ['&', 'EPSC 212', 'ATOC 219'], ['&', 'EPSC 212', 'SOIL 300'], ['&', 'EPSC 220', 'EPSC 233'], ['&', 'EPSC 220', 'ATOC 214'], ['&', 'EPSC 220', 'ATOC 215'], ['&', 'EPSC 220', 'ATOC 219'], ['&', 'EPSC 220', 'SOIL 300'], ['&', 'EPSC 233', 'ATOC 214'], ['&', 'EPSC 233', 'ATOC 215'], ['&', 'EPSC 233', 'ATOC 219'], ['&', 'EPSC 233', 'SOIL 300'], ['&', 'ATOC 214', 'ATOC 215'], ['&', 'ATOC 214', 'ATOC 219'], ['&', 'ATOC 214', 'SOIL 300'], ['&', 'ATOC 215', 'ATOC 219'], ['&', 'ATOC 215', 'SOIL 300'], ['&', 'ATOC 219', 'SOIL 300']]"
152,261,"###User:
Prerequisite (Undergraduate): MATH 314, MATH 315, or permission of instructor

###Answer:
['&', 'MATH 314', 'MATH 315']"
153,3559,"###User:
Prerequisites: MUHL 286

###Answer:
'MUHL 286'"
154,3743,"###User:
Prerequisite: MUSR 676D1.

###Answer:
'MUSR 676D1'"
155,2572,"###User:
Prerequisite: Successful completion of any Survey of Literature (HISP 241, HISP 242, HISP 243, HISP 244) or permission of the instructor.  Note: Course taught in Spanish.

###Answer:
['|', 'HISP 241', 'HISP 242', 'HISP 243', 'HISP 244']"
156,4702,"###User:
Prerequisite: AEBI 211 or permission of instructor

###Answer:
'AEBI 211'"
157,1384,"###User:
Prerequisite: DENT 309J2

###Answer:
'DENT 309J2'"
158,2463,"###User:
Prerequisite(s): GEOG 201; GEOG 333 or COMP 202; and GEOG 314; or permission of the instructor.

###Answer:
['&', 'GEOG 201', ['|', 'GEOG 333', 'COMP 202'], 'GEOG 314']"
159,549,"###User:
Prerequisite: MBA Core (MGCR 629, MGCR 650, MGCR 651, MGCR 652, and MGCR 653) or (MGCR 613, MGCR 614, MGCR 617, MGCR 618, MGCR 620, MGCR 621, MGCR 622, MGCR 628, MGCR 638, MGCR 639, MGCR 640, MGCR 642).

###Answer:
['|', ['&', 'MGCR 629', 'MGCR 650', 'MGCR 651', 'MGCR 652', 'MGCR 653'], ['&', 'MGCR 613', 'MGCR 614', 'MGCR 617', 'MGCR 618', 'MGCR 620', 'MGCR 621', 'MGCR 622', 'MGCR 628', 'MGCR 638', 'MGCR 639', 'MGCR 640', 'MGCR 642']]"
160,264,"###User:
Prerequisites: MATH 314, MATH 315, and one of ATOC 312 or ATOC 315 or ATOC 512, or permission of the instructor.

###Answer:
['&', 'MATH 314', 'MATH 315', ['|', 'ATOC 312', 'ATOC 315', 'ATOC 512']]"
161,3,"###User:
Prerequisites: MGCR 211 and MGCR 341

###Answer:
['&', 'MGCR 211', 'MGCR 341']"
162,1569,"###User:
Corequisite: ECON 357D2.

###Answer:
'ECON 357D2'"
163,4434,"###User:
Prerequisite: PSYC 601D1

###Answer:
'PSYC 601D1'"
164,1547,"###User:
Prerequisites: ECON 208 and a statistics course or permission of the instructor.

###Answer:
'ECON 208'"
165,1875,"###User:
Prerequisites: EDEC 215, (EDSL 254 or EDSL 255D1, EDSL 255D2 or EDSL 259D1, EDSL 259D2), (EDFE 255 or EDFE 259 or EDFE 259D1, EDFE 259D2).

###Answer:
['&', 'EDEC 215', ['|', 'EDSL 254', 'EDSL 255D1', 'EDSL 255D2', 'EDSL 259D1', 'EDSL 259D2'], ['|', 'EDFE 255', 'EDFE 259', 'EDFE 259D1', 'EDFE 259D2']]"
166,3117,"###User:
Prerequisites: MATH 223 or MATH 236 or MATH 247 or MATH 251, COMP 202 or consent of instructor.

###Answer:
['&', ['|', 'MATH 223', 'MATH 236', 'MATH 247', 'MATH 251'], 'COMP 202']"
