,Unnamed: 0,index,course,req_type,requisite,object_tree,json_tree
21,207,453,BIOL597,1,"Prerequisites: BIOL 373 or equivalent, and permission of instructor; BIOL 596 recommended",'BIOL 373',{}
22,2211,3821,NUR1225,1,Prerequisite(s): NUR1 224,'NUR1 224',{}
23,1961,3429,MIME710D2,1,Prerequisite: MIME 710D1,'MIME 710D1',{}
24,18,52,AEPH115,1,Prerequisites: AEPH 112 or AEPH 113 or PHYS 101or PHYS 131 or equivalent.,"['|', 'AEPH 112', 'AEPH 113', 'PHYS 101', 'PHYS 131']",{}
25,168,396,BIOL414,1,"Prerequisites: BIOL 306 or permission of instructor, COMP 202 or equivalent (any coding experience or permission of the instructor).","['&', 'BIOL 306', 'COMP 202']",{}
26,32,49,AEPH113,2,Corequisite: AEMA 101 or equivalent.,'AEMA 101',{}
27,899,1509,EAST498N2,1,Prerequisite: EAST 498N1,'EAST 498N1',{}
28,644,1117,CLAS332,1,Prerequisite(s): CLAS 331 or similar course or permission of instructor.,'CLAS 331',{}
29,10,36,AEBI421,2,"Corequisite(s): AEBI 423, AEBI 425, AEBI 427","['&', 'AEBI 423', 'AEBI 425', 'AEBI 427']",{}
30,741,1741,ECSE554,1,"Prerequisites: ECSE 205, COMP 206, ECSE 250, and (ECSE 343 or MATH 247) or equivalents.","['&', 'ECSE 205', 'COMP 206', 'ECSE 250', ['|', 'ECSE 343', 'MATH 247']]",{}
31,993,1722,ECSE527,1,Prerequisite: ECSE 354,'ECSE 354',{}
32,228,402,BIOL429,1,Prerequisite: BIOL 215 or equivalent.,'BIOL 215',{}
33,675,1165,CMS2533D2,1,Prerequisite: CMS2 533D1,'CMS2 533D1',{}
34,2419,4183,PHYS131,2,Corequisite: MATH 139 or higher level calculus course.,'MATH 139',{}
35,1348,3153,MATH478,1,Prerequisites: MATH 315 or MATH 325 or MATH 263; MATH 317 or MATH 387 or COMP 350 or MECH 309; or permission of the instructor,"['&', ['|', 'MATH 315', 'MATH 325', 'MATH 263'], ['|', 'MATH 317', 'MATH 387', 'COMP 350', 'MECH 309']]",{}
36,2530,4402,PSYC488D2,1,Prerequisite: PSYC 488D1.,'PSYC 488D1',{}
37,1269,2189,ENVR495D2,1,Prerequisite: ENVR 495D1.,'ENVR 495D1',{}
38,650,1126,CLAS682,2,Corequisite: CLAS 681,'CLAS 681',{}
39,2381,4125,PHGY603,1,Prerequisite: Knowledge of differential equations at the MATH 315 level or equivalent.,'MATH 315',{}
40,916,1529,EAST700D2,1,Prerequisite: EAST 700D1,'EAST 700D1',{}
41,1842,3245,MECH494,1,Prerequisite: MECH 292 ,'MECH 292',{}
42,1516,3528,MUCT315,1,"Prerequisites: MUTH 211, MUSP 229, MUCT 235 and MUGT 215; or MUTH 250, MUSP 240, MUCT 235 and MUGT 215; or permission of instructor","['|', ['&', 'MUTH 211', 'MUSP 229', 'MUCT 235', 'MUGT 215'], ['&', 'MUTH 250', 'MUSP 240', 'MUCT 235', 'MUGT 215']]",{}
43,2744,4711,WRIT004D2,1,Prerequisite: WRIT 004D1,'WRIT 004D1',{}
44,56,134,ANTH339,1,"Prerequisite: ANTH 204, or ANTH 206, or SOCI 328, or GEOG 300 or ENVR 201, or ENVR 203, or permission of instructor","['|', 'ANTH 204', 'ANTH 206', 'SOCI 328', 'GEOG 300', 'ENVR 201', 'ENVR 203']",{}
45,314,567,CACC523,2,Corequisite: CHLC 500,'CHLC 500',{}
46,455,1064,CIVE302,1,"Prerequisites: MATH 262, COMP 208 (a D grade is acceptable for prerequisite purposes)","['&', 'MATH 262', 'COMP 208']",{}
47,337,758,CEEN411,1,Prerequisites: CEEN 331 and CEEN 332 or Entrance Placement Test or Permission of the Director,"['&', 'CEEN 331', 'CEEN 322']",{}
48,224,385,BIOL350,1,Prerequisite: BIOL 205 or permission of instructor.,'BIOL 205',{}
49,1123,1965,EDPC209,1,Prerequisite: EDPC 208 ,'EDPC 208',{}
50,1323,3112,MATH319,1,"Prerequisites: MATH 223 or MATH 236, MATH 314 or equivalent, MATH 315","['&', ['|', 'MATH 223', 'MATH 236'], 'MATH 314', 'MATH 315']",{}
51,1218,2826,INFS605D1,1,"Prerequisites: INFS 603, INFS 604, INFS 611","['&', 'INFS 603', 'INFS 604', 'INFS 611']",{}
52,945,1601,ECON468,1,Prerequisite(s): ECON 257D1/D2 or permission of the instructor.,'ECON 257D1',{}
53,481,840,CEGL393,2,Corequisite(s): CEGL 392,'CEGL 392',{}
54,885,1492,EAST352,1,Prerequisite: EAST 211.,'EAST 211',{}
55,921,1535,ECON230D2,1,Prerequisite: ECON 230D1,'ECON 230D1',{}
56,902,1513,EAST530D2,1,Prerequisite: EAST 530D1,'EAST 530D1',{}
57,1276,2210,EPIB637,1,"Prerequisite(s): EPIB 621, or equivalent, or permission of the instructor.",'EPIB 621',{}
58,2136,3699,MUPG671,1,Prerequisite: MUPG 670,'MUPG 670',{}
59,1514,3520,MUCO462,1,Prerequisite: MUCO 340D1/D2 or MUTH 350,"['|', ['&', 'MUCO 340D1', 'MUCO 340D2'], 'MUTH 350']",{}
60,772,1371,DENT215D2,1,Prerequisite: DENT 215D1,'DENT 215D1',{}
61,107,293,BIEN219,1,"Prerequisite(s): BIOL 112; CHEM 110 and CHEM 120; MATH 140, MATH 141 and MATH 133; PHYS 131 and PHYS 142; or the equivalents of these courses","['&', 'BIOL 112', 'CHEM 110', 'CHEM 120', 'MATH 140', 'MATH 141', 'MATH 133', 'PHYS 131', 'PHYS 142']",{}
62,2550,4442,PSYC690D2,1,Prerequisite: PSYC 690D1,'PSYC 690D1',{}
63,173,403,BIOL429,2,Corequisite: NRSC/BIOL 451 and ANTH/GEOG 451,"['&', ['|', 'NRSC 451', 'BIOL 451'], ['|', 'ANTH 451', 'GEOG 451']]",{}
64,2467,4278,POLI346,1,Prerequisite: POLI 244 or a course in American history,'POLI 244',{}
65,1396,2383,FINE541N2,1,Prerequisite: FINE 541N1,'FINE 541N1',{}
66,1093,2573,HISP326,1,"Prerequisite: Successful completion of any Survey of Literature (HISP 241, HISP 242, HISP 243, HISP 244) or permission of the instructor.  Note: Course taught in Spanish.","['|', 'HISP 241', 'HISP 242', 'HISP 243', 'HISP 244']",{}
67,299,550,BUSA651D2,1,Prerequisite: BUSA 651D1,'BUSA 651D1',{}
68,277,640,CCFA528,1,"Prerequisites:  CCFA 505, (CCFA 515 or CCFA 615), (CMS2 521 or CMS2 621) and (CEC2 532 or CEC2 632)","['&', 'CCFA 505', ['|', 'CCFA 515', 'CCFA 615'], ['|', 'CMS2 521', 'CMS2 621'], ['|', 'CEC2 532', 'CEC2 632']]",{}
69,57,136,ANTH344,1,Prerequisite: ANTH 201 or ANTH 202 or ANTH 205 or permission of instructor.,"['|', 'ANTH 201', 'ANTH 202', 'ANTH 205']",{}
70,1684,2944,ISLA555,1,Prerequisite(s): ISLA 352D1/D2 or permission of the instructor.,'ISLA 352D1',{}
71,927,1551,ECON318,1,Prerequisite: ECON 316.,'ECON 316',{}
72,1233,2139,ELEC403,1,Prerequisite: ELEC 400.,'ELEC 400',{}
73,632,1102,CIVE584,1,Prerequisite: CIVE 311 or Permission of Instructor.,'CIVE 311',{}
74,839,1953,EDKP661,1,Prerequisites: EDKP 605 AND EDPE 676 or equivalent.,"['&', 'EDKP 605', 'EDPE 676']",{}
75,287,671,CCFC521,1,Prerequisite(s): (BUSA 364 or CCLW 511 or CCLW 611) and MGCR 211 or Departmental Approval,"['&', ['|', 'BUSA 364', 'CCLW 511', 'CCLW 611'], 'MGCR 211']",{}
76,546,951,CHEE797,1,Prerequisite: CHEE 796 ,'CHEE 796',{}
77,1234,2140,ELEC404,1,Prerequisite: ELEC 400.,'ELEC 400',{}
78,282,521,BTEC625,1,Prerequisite: BTEC 622.,'BTEC 622',{}
79,403,715,CCTR544,1,Prerequisites: CCTR 530,'CCTR 530',{}
80,240,538,BUSA600,1,"Prerequisite(s): INSY 660, INSY 661, INSY 662, MGSC 660, MGSC 661, MGSC 662, ORGB 660, ORGB 661","['&', 'INSY 660', 'INSY 661', 'INSY 662', 'MGSC 660', 'MGSC 661', 'MGSC 662', 'ORGB 660', 'ORGB 661']",{}
81,96,263,ATOC515,1,"Prerequisite (Undergraduate): MATH 314, MATH 315, a previous course in fluid dynamics (such as ATOC 512), or permission of instructor","['&', 'MATH 314', 'MATH 315', 'ATOC 512']",{}
82,1520,2721,HIST565D2,1,Prerequisite: HIST 565D1,'HIST 565D1',{}
83,208,458,BIOS602,1,"Prerequisites: Permission of instructor.  MATH 556 and BIOS 601, or their equivalents.","['&', 'MATH 556', 'BIOL 601']",{}
84,857,1464,DENT585J3,1,Prerequisite: DENT 585J2,'DENT 585J2',{}
85,2123,3685,MUPG542,1,Prerequisite: MUPG 541,'MUPG 541',{}
86,547,952,CHEE798,1,Prerequisite: CHEE 797,'CHEE 797',{}
87,610,1069,CIVE319,2,Corequisite: CIVE 302,'CIVE 302',{}
88,64,144,ANTH413,1,Prerequisite: ANTH 201 or ANTH 331 or ANTH 345 or ANTH 347 or ANTH 348 or permission of instructor,"['|', 'ANTH 201', 'ANTH 331', 'ANTH 345', 'ANTH 347', 'ANTH 348']",{}
89,2439,4217,PHYS352,1,Prerequisite: PHYS 350.,'PHYS 350',{}
90,612,1532,ECON221,2,Corequisites: ECON 208 and ECON 209 or ECON 230D1/D2 or ECON 250D1/D2.,"['|', ['&', 'ECON 208', 'ECON 209'], 'ECON 230D1', 'ECON 230D2', 'ECON 250D1', 'ECON 250D2' ]",{}
91,37,104,ANSC312,1,Prerequisite(s): ANSC 250 or ANSC 323 or PHGY 209,"['|', 'ANSC 250', 'ANSC 323', 'PHGY 209']",{}
92,1408,2396,FINE681,1,Prerequisite: FINE 673.,'FINE 673',{}
93,2146,3714,MUSP171,1,Prerequisite: MUSP 170,'MUSP 170',{}
94,1915,3363,MIME421,1,Prerequisites: MIME 323 and instructor permission,'MIME 323',{}
95,1457,2515,GEOG698N2,1,Prerequisite: GEOG 698N1,'GEOG 698N1',{}
96,78,188,ARCH355,1,Prerequisites: ARCH 250 and ARCH 251,"['&', 'ARCH 250', 'ARCH 251']",{}
97,1664,2913,ISLA360,1,Prerequisite: ISLA 210 or permission of instructor.,'ISLA 210',{}
98,586,1036,CHLC401J2,1,Prerequisite: CHLC 401J1,'CHLC 401J1',{}
99,1109,2590,HISP453,1,"Prerequisite: Successful completion of any Survey of Literature (HISP 241, HISP 242, HISP 243, HISP 244) or permission of the instructor. Note: Course taught in Spanish.","['|', 'HISP 241', 'HISP 242', 'HISP 243', 'HISP 244']",{}
100,797,1397,DENT318J2,1,Prerequisite: DENT 318J1,'DENT 318J1',{}
101,1648,2881,INSY652,1,Prerequisite(s): INSY 642,'INSY 642',{}
102,807,1407,DENT323J3,1,Prerequisite: DENT 323J2,'DENT 323J2',{}
103,1833,3219,MDPH691D2,1,Prerequisite: MDPH 691D1,'MDPH 691D1',{}
104,65,103,ANSC303,1,"Prerequisite: ANSC 250 (or equivalent, or permission)",'ANSC 250',{}
105,1802,3150,MATH466,1,Prerequisite: MATH 255.,'MATH 255',{}
106,1930,3397,MIME568,1,Prerequisite: MIME 362 or equivalent ,'MIME 362',{}
107,111,192,ARCH388,1,Prerequisite: ARCH 303 ,'ARCH 303',{}
108,73,160,ANTH511,1,Prerequisites: ANTH 357 or ANTH 359.,"['|', 'ANTH 357', 'ANTH 359']",{}
109,92,259,ATOC404,1,"Prerequisite(s): PHYS 230 or PHYS 251, PHYS 232 or PHYS 253, MATH 315 or MATH 325, and MATH 222","['&', ['|', 'PHYS 230', 'PHYS 251'], ['|', 'PHYS 232', 'PHYS 253'], ['|', 'MATH 315', 'MATH 325'], 'MATH 222']",{}
110,1449,3367,MIME426,1,Prerequisite(s): MIME 422 and (MIME 421 or MPMC 321) and (MIME 424 or MPMC 421),"['&', 'MIME 422', ['|', 'MIME 421', 'MPMC 321'], ['|', 'MIME 424', 'MPMC 421']]",{}
111,129,335,BIOC458,1,"Prerequisites: BIOC 212 or ANAT 212 or BIOL201, ANAT 262, one of PHGY 209 or BIOL 205; one of BIOC 312 or ANAT 365; BIOC 311 recommended","['&', ['|', 'BIOC 212', 'ANAT 212', 'BIOL 201'], 'ANAT 262', ['|', 'PHYG 209', 'BIOL 205'], ['&', 'BIOC 312', 'ANAT 365']]",{}
112,225,485,BREE418,1,Prerequisite: BREE 341 (formerly ABEN 341),'BREE 341',{}
113,77,187,ARCH354,1,Prerequisites: ARCH 250 and ARCH 251,"['&', 'ARCH 250', 'ARCH 251']",{}
114,1386,3221,MECH220,1,"Prerequisites: MECH 210, MATH 262. Pre-/Co-requisite: MATH 263.","['&', 'MECH 210', 'MATH 262', 'MATH 263']",{}
115,110,191,ARCH383,1,Prerequisite: ARCH 202 or permission of instructor ,'ARCH 202',{}
116,1656,2896,ISLA232D2,1,Prerequisite: ISLA 232D1,'ISLA 232D1',{}
117,107,185,ARCH325,1,Prerequisite(s): ARCH 221,'ARCH 221',{}
118,996,1727,ECSE536,1,Prerequisite: ECSE 335 and permission of the instructor.,'ECSE 335',{}
119,1424,3284,MECH656,1,"Prerequisites: MECH 452 or MECH 605 or equivalent, and MECH 562 or MECH 610 or equivalent.","['&', ['|', 'MECH 452', 'MECH 605'], ['|', 'MECH 562', 'MECH 610']]",{}
120,2255,3904,NUR2632,1,Prerequisite: NUR2 631,'NUR2 631',{}
121,1473,3447,MIMM385,1,"Prerequisite(s): MIMM 211, MIMM 212, MIMM 214 (MIMM 384 highly recommended).","['&', 'MIMM 211', 'MIMM 212', 'MIMM 214']",{}
122,800,1870,EDFE306,1,"Prerequisites: EDEE 275, EDEE 223, EDEE 250, EDEE 282, EDEC 215, (EDFE 256 or EDFE 256D1/D2), (EDEC 253 or EDEC 253D1/D2).","['&', 'EDEE 275', 'EDEE 223', 'EDEE 250', 'EDEE 282', 'EDEC 215', ['|', 'EDFE 256', ['&', 'EDFE 256D1', 'EDFE 256D2']], ['|', 'EDEC 253', ['&', 'EDEC 253D1', 'EDEC 253D2']]]",{}
123,636,1575,ECON406,1,"Prerequisites: ECON 230 or ECON 250 and one of ECON 227, ECON 257 ","['&', ['|', 'ECON 230', 'ECON 250'], 'ECON 227', 'ECON 257']",{}
124,2142,3705,MUPG689,1,Prerequisite: MUEN 556 or equivalent or permission of the instructor,'MUEN 556',{}
125,2064,3611,MUIN451,1,Prerequisite: MUIN 450,'MUIN 450',{}
126,126,210,ARCH528,1,Prerequisite: ARCH 251 or permission of instructor ,'ARCH 251',{}
127,1767,3076,LING775,1,Prerequisite: LING 671,'LING 671',{}
128,233,420,BIOL469D2,1,Prerequisite: BIOL 469D1.,'BIOL 469D1',{}
129,1334,2299,EXSU691N2,1,Prerequisite: EXSU 691N1,'EXSU 691N1',{}
130,2762,4729,WRIT451,1,Prerequisite: WRIT 450,'WRIT 450',{}
131,1458,3383,MIME515,1,Prerequisites: (CHEM 233 and MIME 261 and MIME 317) or (CHEE 310 and CHEE 380) or permission of instructor,"['|', ['&', 'CHEM 233', 'MIME 261', 'MIME 317'], ['&', 'CHEE 310', 'CHEE 380']]",{}
132,1596,2810,INDS420,1,Prerequisite: INDS 320.,'INDS 320',{}
133,1480,2594,HISP490D2,1,Prerequisite: HISP 490D1,'HISP 490D1',{}
134,7,31,ACCT695,1,"Prerequisite(s): Any two of the following:  ACCT 683, ACCT 685, ACCT 687, ACCT 689.","['|', ['&', 'ACCT 683', 'ACCT 685'], ['&', 'ACCT 683', 'ACCT 687'], ['&', 'ACCT 683', 'ACCT 689'], ['&', 'ACCT 685', 'ACCT 687'], ['&', 'ACCT 685', 'ACCT 689'], ['&', 'ACCT 687', 'ACCT 689']]",{}
135,2379,4123,PHGY552,1,Prerequisite: PHGY 311 ,'PHGY 311',{}
136,2262,3922,NUR2663,1,Prerequisite: NUR2 661 or permission of the instructor.,'NUR2 661',{}
137,1112,2593,HISP458,1,"Prerequisite: Successful completion of any Survey of Literature (HISP 241, HISP 242, HISP 243, HISP 244) or permission of the instructor. Note: Course taught in Spanish.","['|', 'HISP 241', 'HISP 242', 'HISP 243', 'HISP 244']",{}
138,2719,4676,SWRK698D2,1,Prerequisite: SWRK 698D1,'SWRK 698D1',{}
139,2075,3622,MUIN631,1,Prerequisite(s): MUIN 630,'MUIN 630',{}
140,1398,3240,MECH419,1,"Prerequisites: MECH 220, CIVE 207, MATH 264, MATH 271.","['&', 'MECH 220', 'CIVE 207', 'MATH 264', 'MATH 271']",{}
141,2497,4334,POTH699D2,1,Prerequisite: POTH 699D1,'POTH 699D1',{}
142,896,1506,EAST495D2,1,Prerequisite: EAST 495D1,'EAST 495D1',{}
143,1951,3419,MIME673N2,1,Prerequisite: MIME 673N1,'MIME 673N1',{}
144,2560,4452,PSYC707D2,1,Prerequisite: PSYC 707D1,'PSYC 707D1',{}
145,1815,3186,MATH576,1,Prerequisite: MATH 454,'MATH 454',{}
146,854,2023,EDPE707,1,"Prerequisites: EDPE 704 - Advanced Research Seminar 1, EDPE 705 - Advanced Research Seminar 2, EDPE 706 - Advanced Research Seminar 3","['&', 'EDPE 704', 'EDPE 705', 'EDPE 706']",{}
147,2456,4244,PLNT300,1,Prerequisite: AEBI 210,'AEBI 210',{}
148,988,2407,FINE696,1,Prerequisite(s): (INSY 660 OR INSY 662 OR Instructor's approval) AND (MGSC 660 OR MGSC 661 OR Instructor's approval),"['&', ['|', 'INSY 660', 'INSY 662'], ['|', 'MGSC 660', 'MGSC 661']]",{}
149,89,255,ATOC341,2,"Corequisites: BIOL 343, GEOG 340, FSCI 444 or permission of the Program Director","['&', 'BIOL 343', 'GEOG 340', 'FSCI 444']",{}
150,1098,2578,HISP341,1,"Prerequisite: Successful completion of any Survey of Literature (HISP 241, HISP 242, HISP 243, HISP 244) or permission of the instructor.","['|', 'HISP 241', 'HISP 242', 'HISP 243', 'HISP 244']",{}
151,90,257,ATOC373,1,"Prerequisite(s): Two courses from the following list: GEOG 203, GEOG 205,GEOG 272, GEOG 372, ENVR 200, ENVR 202, EPSC 203, EPSC 210, EPSC 212, EPSC 220, EPSC 233, ATOC 214, ATOC 215, ATOC 219, SOIL 300.","['|', ['&', 'GEOG 203', 'GEOG 205'], ['&', 'GEOG 203', 'GEOG 272'], ['&', 'GEOG 203', 'GEOG 372'], ['&', 'GEOG 203', 'ENVR 200'], ['&', 'GEOG 203', 'ENVR 202'], ['&', 'GEOG 203', 'EPSC 203'], ['&', 'GEOG 203', 'EPSC 212'], ['&', 'GEOG 203', 'EPSC 220'], ['&', 'GEOG 203', 'EPSC 233'], ['&', 'GEOG 203', 'ATOC 214'], ['&', 'GEOG 203', 'ATOC 215'], ['&', 'GEOG 203', 'ATOC 219'], ['&', 'GEOG 203', 'SOIL 300'], ['&', 'GEOG 205', 'GEOG 272'], ['&', 'GEOG 205', 'GEOG 372'], ['&', 'GEOG 205', 'ENVR 200'], ['&', 'GEOG 205', 'ENVR 202'], ['&', 'GEOG 205', 'EPSC 203'], ['&', 'GEOG 205', 'EPSC 212'], ['&', 'GEOG 205', 'EPSC 220'], ['&', 'GEOG 205', 'EPSC 233'], ['&', 'GEOG 205', 'ATOC 214'], ['&', 'GEOG 205', 'ATOC 215'], ['&', 'GEOG 205', 'ATOC 219'], ['&', 'GEOG 205', 'SOIL 300'], ['&', 'GEOG 272', 'GEOG 372'], ['&', 'GEOG 272', 'ENVR 200'], ['&', 'GEOG 272', 'ENVR 202'], ['&', 'GEOG 272', 'EPSC 203'], ['&', 'GEOG 272', 'EPSC 212'], ['&', 'GEOG 272', 'EPSC 220'], ['&', 'GEOG 272', 'EPSC 233'], ['&', 'GEOG 272', 'ATOC 214'], ['&', 'GEOG 272', 'ATOC 215'], ['&', 'GEOG 272', 'ATOC 219'], ['&', 'GEOG 272', 'SOIL 300'], ['&', 'GEOG 372', 'ENVR 200'], ['&', 'GEOG 372', 'ENVR 202'], ['&', 'GEOG 372', 'EPSC 203'], ['&', 'GEOG 372', 'EPSC 212'], ['&', 'GEOG 372', 'EPSC 220'], ['&', 'GEOG 372', 'EPSC 233'], ['&', 'GEOG 372', 'ATOC 214'], ['&', 'GEOG 372', 'ATOC 215'], ['&', 'GEOG 372', 'ATOC 219'], ['&', 'GEOG 372', 'SOIL 300'], ['&', 'ENVR 200', 'ENVR 202'], ['&', 'ENVR 200', 'EPSC 203'], ['&', 'ENVR 200', 'EPSC 212'], ['&', 'ENVR 200', 'EPSC 220'], ['&', 'ENVR 200', 'EPSC 233'], ['&', 'ENVR 200', 'ATOC 214'], ['&', 'ENVR 200', 'ATOC 215'], ['&', 'ENVR 200', 'ATOC 219'], ['&', 'ENVR 200', 'SOIL 300'], ['&', 'ENVR 202', 'EPSC 203'], ['&', 'ENVR 202', 'EPSC 212'], ['&', 'ENVR 202', 'EPSC 220'], ['&', 'ENVR 202', 'EPSC 233'], ['&', 'ENVR 202', 'ATOC 214'], ['&', 'ENVR 202', 'ATOC 215'], ['&', 'ENVR 202', 'ATOC 219'], ['&', 'ENVR 202', 'SOIL 300'], ['&', 'EPSC 203', 'EPSC 212'], ['&', 'EPSC 203', 'EPSC 220'], ['&', 'EPSC 203', 'EPSC 233'], ['&', 'EPSC 203', 'ATOC 214'], ['&', 'EPSC 203', 'ATOC 215'], ['&', 'EPSC 203', 'ATOC 219'], ['&', 'EPSC 203', 'SOIL 300'], ['&', 'EPSC 212', 'EPSC 220'], ['&', 'EPSC 212', 'EPSC 233'], ['&', 'EPSC 212', 'ATOC 214'], ['&', 'EPSC 212', 'ATOC 215'], ['&', 'EPSC 212', 'ATOC 219'], ['&', 'EPSC 212', 'SOIL 300'], ['&', 'EPSC 220', 'EPSC 233'], ['&', 'EPSC 220', 'ATOC 214'], ['&', 'EPSC 220', 'ATOC 215'], ['&', 'EPSC 220', 'ATOC 219'], ['&', 'EPSC 220', 'SOIL 300'], ['&', 'EPSC 233', 'ATOC 214'], ['&', 'EPSC 233', 'ATOC 215'], ['&', 'EPSC 233', 'ATOC 219'], ['&', 'EPSC 233', 'SOIL 300'], ['&', 'ATOC 214', 'ATOC 215'], ['&', 'ATOC 214', 'ATOC 219'], ['&', 'ATOC 214', 'SOIL 300'], ['&', 'ATOC 215', 'ATOC 219'], ['&', 'ATOC 215', 'SOIL 300'], ['&', 'ATOC 219', 'SOIL 300']]",{}
152,94,261,ATOC512,1,"Prerequisite (Undergraduate): MATH 314, MATH 315, or permission of instructor","['&', 'MATH 314', 'MATH 315']",{}
153,2028,3559,MUHL383,1,Prerequisites: MUHL 286,'MUHL 286',{}
154,2170,3743,MUSR676D2,1,Prerequisite: MUSR 676D1.,'MUSR 676D1',{}
155,1092,2572,HISP321,1,"Prerequisite: Successful completion of any Survey of Literature (HISP 241, HISP 242, HISP 243, HISP 244) or permission of the instructor.  Note: Course taught in Spanish.","['|', 'HISP 241', 'HISP 242', 'HISP 243', 'HISP 244']",{}
156,2737,4702,WILD302,1,Prerequisite: AEBI 211 or permission of instructor,'AEBI 211',{}
157,784,1384,DENT309J3,1,Prerequisite: DENT 309J2,'DENT 309J2',{}
158,1023,2463,GEOG384,1,Prerequisite(s): GEOG 201; GEOG 333 or COMP 202; and GEOG 314; or permission of the instructor.,"['&', 'GEOG 201', ['|', 'GEOG 333', 'COMP 202'], 'GEOG 314']",{}
159,249,549,BUSA651D1,1,"Prerequisite: MBA Core (MGCR 629, MGCR 650, MGCR 651, MGCR 652, and MGCR 653) or (MGCR 613, MGCR 614, MGCR 617, MGCR 618, MGCR 620, MGCR 621, MGCR 622, MGCR 628, MGCR 638, MGCR 639, MGCR 640, MGCR 642).","['|', ['&', 'MGCR 629', 'MGCR 650', 'MGCR 651', 'MGCR 652', 'MGCR 653'], ['&', 'MGCR 613', 'MGCR 614', 'MGCR 617', 'MGCR 618', 'MGCR 620', 'MGCR 621', 'MGCR 622', 'MGCR 628', 'MGCR 638', 'MGCR 639', 'MGCR 640', 'MGCR 642']]",{}
160,97,264,ATOC517,1,"Prerequisites: MATH 314, MATH 315, and one of ATOC 312 or ATOC 315 or ATOC 512, or permission of the instructor.","['&', 'MATH 314', 'MATH 315', ['|', 'ATOC 312', 'ATOC 315', 'ATOC 512']]",{}
161,1,3,ACCT354,1,Prerequisites: MGCR 211 and MGCR 341,"['&', 'MGCR 211', 'MGCR 341']",{}
162,934,1569,ECON352D2,2,Corequisite: ECON 357D2.,'ECON 357D2',{}
163,2542,4434,PSYC601D2,1,Prerequisite: PSYC 601D1,'PSYC 601D1',{}
164,925,1547,ECON310,1,Prerequisites: ECON 208 and a statistics course or permission of the instructor.,'ECON 208',{}
