index,course,req_type,requisite,object_tree,json_tree
36,"AEBI421",2,"Corequisite(s): AEBI 423, AEBI 425, AEBI 427","['&', 'AEBI 423', 'AEBI 425', 'AEBI 427']","{}"
37,"AEBI423",2,"Corequisite(s): AEBI 421, AEBI 425, AEBI 427","['&', 'AEBI 421', 'AEBI 425', 'AEBI 427']","{}"
38,"AEBI425",2,"Corequisite(s): AEBI 421, AEBI 423 and AEBI 427.","['&', 'AEBI 421', 'AEBI 423', 'AEBI 427']","{}"
39,"AEBI427",2,"Corequisite(s): AEBI 421, AEBI 423 and AEBI 425","['&', 'AEBI 421', 'AEBI 423', 'AEBI 425']","{}"
40,"AECH111",1,"Prerequisite(s): FDSC 110 or AECH 110","['|', 'FDSC 110', 'AECH 110']","{}"
41,"AEMA202",1,"Prerequisites: BREE 103 and AEMA 102 or equivalent CEGEP objectives 00UP and 00UQ or permission of instructor","['&', 'BREE 103', 'AEMA 102']","{}"
50,"AEPH114",1,"Prerequisite: AEPH 112 or AEPH 113 or PHYS 101 or PHYS 131 or CEGEP objective 00UR or equivalents, or permission of instructor","['|', 'AEPH 112', 'AEPH 113', 'PHYS 101', 'PHYS 131']","{}"
51,"AEPH114",2,"Corequisite: AEMA 102 (or MATH 141 or higher level calculus course) or CEGEP objective 00UP, or permission of instructor.","['|', 'AEMA 102', 'MATH 141']","{}"
52,"AEPH115",1,"Prerequisites: AEPH 112 or AEPH 113 or PHYS 101or PHYS 131 or equivalent.","['|', 'AEPH 112', 'AEPH 113', 'PHYS 101', 'PHYS 131']","{}"
63,"AGEC425",1,"Prerequisites: AEMA 310, AGEC 200 and AGEC 201 or equivalents ","['&', 'AEMA 310', 'AGEC 200', 'AGEC 201']","{}"
65,"AGEC442",1,"Prerequisites: AGEC 200 or AGEC 201 or equivalent ","['|', 'AGEC 200', 'AGEC 201']","{}"
66,"AGEC450",1,"Prerequisites: AGEC 231, AGEC 330, AGEC 332 and an accounting course, or approval of instructor","['&', 'AGEC 231', 'AGEC 330', 'AGEC 332']","{}"
67,"AGEC491",1,"Prerequisites: AGEC 201 or equivalent and AGEC 320 or permission of the instructor","['&', 'AGEC 201', 'AGEC 320']","{}"
74,"AGRI550",1,"Prerequisites: HISP 218 or equivalent; MATH 203 or AEMA 310 or equivalent ","['&', 'HISP 218', ['|', 'MATH 203', 'AEMA 310']]","{}"
76,"ANAT214",1,"Prerequisites: BIOL 112 (or CEGEP equivalent), PHGY 209 and PHGY 210","['&', 'BIOL 112', 'PHGY 209', 'PHGY 210']","{}"
78,"ANAT262",2,"Corequisites: ANAT 212 or BIOC 212 or BIOL 201","['|', 'ANAT 212', 'BIOC 212', 'BIOL 201']","{}"
81,"ANAT321",1,"Prerequisites: ANAT/BIOC 212 or BIOL 201; and one of PHGY 209, NSCI 200 or PSYC 211; or permission of instructor","['&', ['|', 'ANAT 212', 'BIOC 212', 'BIOL 201'], ['|', 'PHGY 209', 'NSCI 200', 'PSYC 211']]","{}"
83,"ANAT323",1,"Prerequisites for Honours Anatomy &amp; Cell Biology students: ANAT 214 and ANAT 314.","['&', 'ANAT 214', 'ANAT 314']","{}"
84,"ANAT365",1,"Prerequisites: ANAT 261, ANAT 262, PHGY 209, or by permission of instructor","['&', 'ANAT 261', 'ANAT 262', 'PHGY 209']","{}"
85,"ANAT381",1,"Prerequisites: ANAT 261, BIOL 202 or permission of instructor","['&', 'ANAT 261', 'BIOL 202']","{}"
86,"ANAT416",1,"Prerequisite(s): ANAT 381 or BIOL 303 or special permission of instructor","['|', 'ANAT 381', 'BIOL 303']","{}"
90,"ANAT458",1,"Prerequisites: BIOC 212 or ANAT 212 or BIOL 201, ANAT 262, one of PHGY 209 or BIOL 205; one of BIOC 312 or ANAT 365; BIOC 311 recommended","['&', ['|', 'BIOC 212', 'ANAT 212', 'BIOL 201'], 'ANAT 262', ['|', 'PHGY 209', 'BIOL 205'], ['|', 'BIOC 312', 'ANAT 365']]","{}"
91,"ANAT499",1,"Prerequisites: ANAT 262 and BIOL 202","['&', 'ANAT 262', 'BIOL 202']","{}"
92,"ANAT514",1,"Prerequisites: ANAT 214 and ANAT 314","['&', 'ANAT 214', 'ANAT 314']","{}"
93,"ANAT541",1,"Prerequisites: ANAT 212 (or BIOC 212 or BIOL 201), ANAT 261, ANAT 262, or permission of instructor.","['&', ['|', 'ANAT 212', 'BIOC 212', 'BIOL 201'], 'ANAT 261', 'ANAT 262']","{}"
98,"ANAT697",1,"Prerequisites: ANAT 695 and ANAT 696","['&', 'ANAT 695', 'ANAT 696']","{}"
102,"ANSC301",1,"Prerequisite: AEMA 310, LSCI 204","['&', 'AEMA 310', 'LSCI 204']","{}"
104,"ANSC312",1,"Prerequisite(s): ANSC 250 or ANSC 323 or PHGY 209","['|', 'ANSC 250', 'ANSC 323', 'PHGY 209']","{}"
105,"ANSC323",1,"Prerequisite(s): LSCI 202 or LSCI 204 or ANSC 234","['|', 'LSCI 202', 'LSCI 204', 'ANSC 234']","{}"
106,"ANSC324",1,"Prerequisites: LSCI 211 and ANSC 323","['&', 'LSCI 211', 'ANSC 323']","{}"
107,"ANSC326",1,"Prerequisites: AEMA 310 and LSCI 204, or equivalents, or permission of the instructor.","['&', 'AEMA 310', 'LSCI 204']","{}"
110,"ANSC420",1,"Prerequisites: LSCI 202 and LSCI 230","['&', 'LSCI 202', 'LSCI 230']","{}"
112,"ANSC433",1,"Prerequisites: ANSC 234 or ANSC 330 or permission of instructor","['|', 'ANSC 234', 'ANSC 330']","{}"
117,"ANSC555",1,"Prerequisites: ANSC 250 or PSYC 301 or WILD 421 or Permission of Instructor","['|', 'ANSC 250', 'PSYC 301', 'WILD 421']","{}"
120,"ANTH303",1,"Prerequisites: ANTH 202 and one other 200-level anthropology course, U2 standing or above, or permission of instructor.","[]","{}"
121,"ANTH304",1,"Prerequisites: ANTH 202 or ANTH 204 or ANTH 209 and another 200-level anthropology course, U2 standing or above, or permission of the instructor.","[]","{}"
122,"ANTH307",1,"Prerequisites: ANTH 201 or ANTH 210","['|', 'ANTH 201', 'ANTH 210']","{}"
123,"ANTH308",1,"Prerequisite: ANTH 202, or ANTH 205, or ANTH 206, or ANTH 212, or permission of instructor ","['|', 'ANTH 202', 'ANTH 205', 'ANTH 206', 'ANTH 212']","{}"
125,"ANTH318",1,"Prerequisites: U2 standing or above and ANTH 209, or ANTH 204, or ANTH 355 or ANTH 352 or RELG 207","['|', 'ANTH 209', 'ANTH 204', 'ANTH 355', 'ANTH 352', 'RELG 207']","{}"
126,"ANTH319",1,"Prerequisite: ANTH 201 or ANTH 202 or HISP 225 or permission of instructor.","['|', 'ANTH 201', 'ANTH 202', 'HISP 225']","{}"
127,"ANTH322",1,"Prerequisite: ANTH 202, or ANTH 204, or ANTH 205, or ANTH 206, or ANTH 209, or ANTH 212, or ANTH 227 or permission of instructor ","['|', 'ANTH 202', 'ANTH 204', 'ANTH 205', 'ANTH 206', 'ANTH 209', 'ANTH 212', 'ANTH 227']","{}"
128,"ANTH325",1,"Prerequisite: ANTH 202 or ANTH 227","['|', 'ANTH 202', 'ANTH 227']","{}"
129,"ANTH326",1,"Prerequisite: ANTH 202 or 204 or 205 or 206 or 212 or permission of instructor","['|', 'ANTH 202', 'ANTH 204', 'ANTH 205', 'ANTH 206', 'ANTH 212']","{}"
130,"ANTH327",1,"Prerequisite: ANTH 202, or ANTH 205, or ANTH 206, or ANTH 209, or permission of instructor","['|', 'ANTH 202', 'ANTH 205', 'ANTH 206', 'ANTH 209']","{}"
131,"ANTH330",1,"Prerequisite: ANTH 201 or ANTH 202 or ANTH 203 or permission of instructor","['|', 'ANTH 201', 'ANTH 202', 'ANTH 203']","{}"
133,"ANTH338",1,"Prerequisite: ANTH 202, or ANTH 204, or ANTH 206, or ANTH 209, or ANTH 212, or permission of the instructor.","['|', 'ANTH 202', 'ANTH 204', 'ANTH 206', 'ANTH 209', 'ANTH 212']","{}"
134,"ANTH339",1,"Prerequisite: ANTH 204, or ANTH 206, or SOCI 328, or GEOG 300 or ENVR 201, or ENVR 203, or permission of instructor","['|', 'ANTH 204', 'ANTH 206', 'SOCI 328', 'GEOG 300', 'ENVR 201', 'ENVR 203']","{}"
136,"ANTH344",1,"Prerequisite: ANTH 201 or ANTH 202 or ANTH 205 or permission of instructor.","['|', 'ANTH 201', 'ANTH 202', 'ANTH 205']","{}"
138,"ANTH359",1,"Prerequisites: ANTH 201 or ANTH 203 or ANTH 210.","['|', 'ANTH 201', 'ANTH 203', 'ANTH 210']","{}"
139,"ANTH361",1,"Prerequisite(s): ANTH 201 or ANTH 210.","['|', 'ANTH 201', 'ANTH 210']","{}"
140,"ANTH385",1,"Prerequisites: ANTH 202 or ANTH 227 or permission of the instructor","['|', 'ANTH 202', 'ANTH 227']","{}"
141,"ANTH403",1,"Prerequisite: ANTH 357 or preferably ANTH 359, or permission of instructor ","['|', 'ANTH 357', 'ANTH 359']","{}"
142,"ANTH407",1,"Prerequisites: ANTH 227 and (1) 300-level anthropology course, and Honours/Major/Minor status in Anthropology or Social Studies of Medicine, or permission of instructor.","[]","{}"
143,"ANTH410",1,"Prerequisite: ANTH 352 or ANTH 355, or permission of the instructor","['|', 'ANTH 352', 'ANTH 355']","{}"
144,"ANTH413",1,"Prerequisite: ANTH 201 or ANTH 331 or ANTH 345 or ANTH 347 or ANTH 348 or permission of instructor","['|', 'ANTH 201', 'ANTH 331', 'ANTH 345', 'ANTH 347', 'ANTH 348']","{}"
145,"ANTH418",1,"Prerequisite: ANTH 339, or ANTH 349, or SOCI 328, or GEOG 300, or GEOG 302, or permission of instructor ","['|', 'ANTH 339', 'ANTH 349', 'SOCI 328', 'GEOG 300', 'GEOG 302']","{}"
147,"ANTH422",1,"Prerequisites: ANTH 355, or ANTH 352, or HISP 226, or permission of the instructor.","['|', 'ANTH 355', 'ANTH 352', 'HISP 226']","{}"
149,"ANTH428",1,"Prerequisites: ANTH 326 OR ANTH 209 OR ANTH 204 OR ANTH 202 OR permission of the instructor.","['|', 'ANTH 326', 'ANTH 209', 'ANTH 204', 'ANTH 202']","{}"
151,"ANTH436",1,"Prerequisite: ANTH 338, or ANTH 336, or permission of instructor ","['|', 'ANTH 338', 'ANTH 336']","{}"
153,"ANTH440",1,"Prerequisite, two of the following: ANTH 204, ANTH 314, ANTH 352, ANTH 355, or ANTH 430, or permission of instructor.","['|', ['&', 'ANTH 204', 'ANTH 314'], ['&', 'ANTH 204', 'ANTH 352'], ['&', 'ANTH 204', 'ANTH 355'], ['&', 'ANTH 204', 'ANTH 430'], ['&', 'ANTH 314', 'ANTH 352'], ['&', 'ANTH 314', 'ANTH 355'], ['&', 'ANTH 314', 'ANTH 430'], ['&', 'ANTH 352', 'ANTH 355'], ['&', 'ANTH 352', 'ANTH 430'], ['&', 'ANTH 355', 'ANTH 430']]","{}"
154,"ANTH450",1,"Prerequisite(s): ANTH 357 and ANTH 359.","['&', 'ANTH 357', 'ANTH 359']","{}"
158,"ANTH504",1,"Prerequisite(s): ANTH 201, ANTH 357","['&', 'ANTH 201', 'ANTH 357']","{}"
159,"ANTH510",1,"Prerequisite(s): ANTH 209 or another instructor-approved introduction to the anthropology of religion and either ANTH 352 or ANTH 355.","['&', 'ANTH 209', ['|', 'ANTH 352', 'ANTH 355']]","{}"
160,"ANTH511",1,"Prerequisites: ANTH 357 or ANTH 359.","['|', 'ANTH 357', 'ANTH 359']","{}"
162,"ANTH520",1,"Prerequisites: ANTH 227, ANTH 302 or ANTH 438, or permission of the instructor.","['|', 'ANTH 227', 'ANTH 302', 'ANTH 438']","{}"
164,"ANTH530",1,"Prerequisites: ANTH 201 or ANTH 210","['|', 'ANTH 201', 'ANTH 210']","{}"
165,"ANTH575",1,"Prerequisites: ANTH 201, or ANTH 202, or ANTH 203, and ANTH 352 or ANTH 359.","['&', ['|', 'ANTH 201', 'ANTH 202', 'ANTH 203'], ['|', 'ANTH 352', 'ANTH 359']]","{}"
187,"ARCH354",1,"Prerequisites: ARCH 250 and ARCH 251","['&', 'ARCH 250', 'ARCH 251']","{}"
188,"ARCH355",1,"Prerequisites: ARCH 250 and ARCH 251","['&', 'ARCH 250', 'ARCH 251']","{}"
189,"ARCH377",1,"Prerequisites: ARCH 202 and ARCH 378","['&', 'ARCH 202', 'ARCH 378']","{}"
195,"ARCH445",1,"Prerequisites: ARCH 240, ARCH 241, ARCH 304","['&', 'ARCH 240', 'ARCH 241', 'ARCH 304']","{}"
197,"ARCH447",1,"Prerequisite(s): ARCH 240, ARCH 378","['&', 'ARCH 240', 'ARCH 378']","{}"
203,"ARCH512",1,"Prerequisites: ARCH 303 and ARCH 342 or equivalent.","['&', 'ARCH 303', 'ARCH 342']","{}"
219,"ARCH632",1,"Prerequisites: ARCH 604, ARCH 623","['&', 'ARCH 604', 'ARCH 623']","{}"
242,"ARTH608",1,"Prerequisites: ARTH 606 and ARTH 607.","['&', 'ARTH 606', 'ARTH 607']","{}"
243,"ARTH609",1,"Prerequisites: ARTH 606 and ARTH 607. ARTH 608 as prerequisite or corequisite.","['&', 'ARCH 606', 'ARTH 607', 'ARTH 608']","{}"
250,"ATOC214",1,"Prerequisite: CEGEP Physics, or the combination of PHYS 131 and PHYS 142, or permission of instructor.","['&', 'PHYS 131', 'PHYS 142']","{}"
251,"ATOC219",1,"Prerequisites: CHEM 110 and CHEM 120, and one of MATH 139 or MATH 140 or MATH 150, or a CEGEP DEC in Science, or permission of instructor.","['&', 'CHEM 110', 'CHEM 120', ['|', 'MATH 139', 'MATH 140', 'MATH 150']]","{}"
254,"ATOC315",1,"Prerequisites: ATOC 214 and MATH 222","['&', 'ATOC 214', 'MATH 222']","{}"
255,"ATOC341",2,"Corequisites: BIOL 343, GEOG 340, FSCI 444 or permission of the Program Director","['&', 'BIOL 343', 'GEOG 340', 'FSCI 444']","{}"
257,"ATOC373",1,"Prerequisite(s): Two courses from the following list: GEOG 203, GEOG 205,GEOG 272, GEOG 372, ENVR 200, ENVR 202, EPSC 203, EPSC 210, EPSC 212, EPSC 220, EPSC 233, ATOC 214, ATOC 215, ATOC 219, SOIL 300.","['|', ['&', 'GEOG 203', 'GEOG 205'], ['&', 'GEOG 203', 'GEOG 272'], ['&', 'GEOG 203', 'GEOG 372'], ['&', 'GEOG 203', 'ENVR 200'], ['&', 'GEOG 203', 'ENVR 202'], ['&', 'GEOG 203', 'EPSC 203'], ['&', 'GEOG 203', 'EPSC 212'], ['&', 'GEOG 203', 'EPSC 220'], ['&', 'GEOG 203', 'EPSC 233'], ['&', 'GEOG 203', 'ATOC 214'], ['&', 'GEOG 203', 'ATOC 215'], ['&', 'GEOG 203', 'ATOC 219'], ['&', 'GEOG 203', 'SOIL 300'], ['&', 'GEOG 205', 'GEOG 272'], ['&', 'GEOG 205', 'GEOG 372'], ['&', 'GEOG 205', 'ENVR 200'], ['&', 'GEOG 205', 'ENVR 202'], ['&', 'GEOG 205', 'EPSC 203'], ['&', 'GEOG 205', 'EPSC 212'], ['&', 'GEOG 205', 'EPSC 220'], ['&', 'GEOG 205', 'EPSC 233'], ['&', 'GEOG 205', 'ATOC 214'], ['&', 'GEOG 205', 'ATOC 215'], ['&', 'GEOG 205', 'ATOC 219'], ['&', 'GEOG 205', 'SOIL 300'], ['&', 'GEOG 272', 'GEOG 372'], ['&', 'GEOG 272', 'ENVR 200'], ['&', 'GEOG 272', 'ENVR 202'], ['&', 'GEOG 272', 'EPSC 203'], ['&', 'GEOG 272', 'EPSC 212'], ['&', 'GEOG 272', 'EPSC 220'], ['&', 'GEOG 272', 'EPSC 233'], ['&', 'GEOG 272', 'ATOC 214'], ['&', 'GEOG 272', 'ATOC 215'], ['&', 'GEOG 272', 'ATOC 219'], ['&', 'GEOG 272', 'SOIL 300'], ['&', 'GEOG 372', 'ENVR 200'], ['&', 'GEOG 372', 'ENVR 202'], ['&', 'GEOG 372', 'EPSC 203'], ['&', 'GEOG 372', 'EPSC 212'], ['&', 'GEOG 372', 'EPSC 220'], ['&', 'GEOG 372', 'EPSC 233'], ['&', 'GEOG 372', 'ATOC 214'], ['&', 'GEOG 372', 'ATOC 215'], ['&', 'GEOG 372', 'ATOC 219'], ['&', 'GEOG 372', 'SOIL 300'], ['&', 'ENVR 200', 'ENVR 202'], ['&', 'ENVR 200', 'EPSC 203'], ['&', 'ENVR 200', 'EPSC 212'], ['&', 'ENVR 200', 'EPSC 220'], ['&', 'ENVR 200', 'EPSC 233'], ['&', 'ENVR 200', 'ATOC 214'], ['&', 'ENVR 200', 'ATOC 215'], ['&', 'ENVR 200', 'ATOC 219'], ['&', 'ENVR 200', 'SOIL 300'], ['&', 'ENVR 202', 'EPSC 203'], ['&', 'ENVR 202', 'EPSC 212'], ['&', 'ENVR 202', 'EPSC 220'], ['&', 'ENVR 202', 'EPSC 233'], ['&', 'ENVR 202', 'ATOC 214'], ['&', 'ENVR 202', 'ATOC 215'], ['&', 'ENVR 202', 'ATOC 219'], ['&', 'ENVR 202', 'SOIL 300'], ['&', 'EPSC 203', 'EPSC 212'], ['&', 'EPSC 203', 'EPSC 220'], ['&', 'EPSC 203', 'EPSC 233'], ['&', 'EPSC 203', 'ATOC 214'], ['&', 'EPSC 203', 'ATOC 215'], ['&', 'EPSC 203', 'ATOC 219'], ['&', 'EPSC 203', 'SOIL 300'], ['&', 'EPSC 212', 'EPSC 220'], ['&', 'EPSC 212', 'EPSC 233'], ['&', 'EPSC 212', 'ATOC 214'], ['&', 'EPSC 212', 'ATOC 215'], ['&', 'EPSC 212', 'ATOC 219'], ['&', 'EPSC 212', 'SOIL 300'], ['&', 'EPSC 220', 'EPSC 233'], ['&', 'EPSC 220', 'ATOC 214'], ['&', 'EPSC 220', 'ATOC 215'], ['&', 'EPSC 220', 'ATOC 219'], ['&', 'EPSC 220', 'SOIL 300'], ['&', 'EPSC 233', 'ATOC 214'], ['&', 'EPSC 233', 'ATOC 215'], ['&', 'EPSC 233', 'ATOC 219'], ['&', 'EPSC 233', 'SOIL 300'], ['&', 'ATOC 214', 'ATOC 215'], ['&', 'ATOC 214', 'ATOC 219'], ['&', 'ATOC 214', 'SOIL 300'], ['&', 'ATOC 215', 'ATOC 219'], ['&', 'ATOC 215', 'SOIL 300'], ['&', 'ATOC 219', 'SOIL 300']]","{}"
258,"ATOC373",2,"Corequisites: EPSC 373, GEOG 373, [ATOC 473 or EPSC 473 or GEOG 473]","['&', 'EPSC 373', 'GEOG 373', ['|', 'ATOC 473', 'EPSC 473', 'GEOG 473']]","{}"
259,"ATOC404",1,"Prerequisite(s): PHYS 230 or PHYS 251, PHYS 232 or PHYS 253, MATH 315 or MATH 325, and MATH 222","['&', ['|', 'PHYS 230', 'PHYS 251'], ['|', 'PHYS 232', 'PHYS 253'], ['|', 'MATH 315', 'MATH 325'], 'MATH 222']","{}"
260,"ATOC473",2,"Corequisite(s): GEOG 373, EPSC 373 and ATOC 373","['&', 'GEOG 373', 'EPSC 373', 'ATOC 373']","{}"
261,"ATOC512",1,"Prerequisite (Undergraduate): MATH 314, MATH 315, or permission of instructor","['&', 'MATH 314', 'MATH 315']","{}"
262,"ATOC513",1,"Prerequisite (Undergraduate): MATH 314, MATH 315, or permission of instructor","['&', 'MATH 314', 'MATH 315']","{}"
263,"ATOC515",1,"Prerequisite (Undergraduate): MATH 314, MATH 315, a previous course in fluid dynamics (such as ATOC 512), or permission of instructor","['&', 'MATH 314', 'MATH 315', 'ATOC 512']","{}"
264,"ATOC517",1,"Prerequisites: MATH 314, MATH 315, and one of ATOC 312 or ATOC 315 or ATOC 512, or permission of the instructor.","['&', 'MATH 314', 'MATH 315', ['|', 'ATOC 312', 'ATOC 315', 'ATOC 512']]","{}"
265,"ATOC519",1,"Prerequisites: CHEM 213, CHEM 273, MATH 222, MATH 315 or equivalents, or permission of the instructor.","['&', 'CHEM 213', 'CHEM 273', 'MATH 222', 'MATH 315']","{}"
266,"ATOC521",1,"Prerequisites (Undergraduates): ATOC 315, MATH 314, and MATH 315, or permission of instructor.","[]","{}"
267,"ATOC525",1,"Prerequisites (Undergraduates): ATOC 315, MATH 314, and MATH 315, or permission of instructor.","[]","{}"
269,"ATOC531",2,"Corequisite (Undergraduate): ATOC 312 or ATOC 512 or permission of instructor","[]","{}"
270,"ATOC540",1,"Prerequisite (Undergraduate): MATH 314, MATH 315, or permission of instructor","[]","{}"
271,"ATOC541",1,"Prerequisite (Undergraduate): ATOC 312 and ATOC 540 or permission of instructor.","[]","{}"
273,"ATOC548",1,"Prerequisite(s): ATOC 512 or ATOC 312","[]","{}"
274,"ATOC557",1,"Prerequisite(s): COMP 208, MATH 315, MATH 323, and MATH 324 or equivalents.","[]","{}"
275,"ATOC558",1,"Prerequisite (Undergraduate): ATOC 312 or ATOC 512, or permission of instructor","[]","{}"
293,"BIEN219",1,"Prerequisite(s): BIOL 112; CHEM 110 and CHEM 120; MATH 140, MATH 141 and MATH 133; PHYS 131 and PHYS 142; or the equivalents of these courses","[]","{}"
296,"BIEN290",1,"Prerequisite: BIEN 200, MATH 203 and PHYS 142","[]","{}"
297,"BIEN300",1,"Prerequisite(s): CHEM 120, MATH 262","[]","{}"
299,"BIEN314",1,"Prerequisite(s): BIEN 200, MATH 263, BIEN 300 or permission by instructor.","[]","{}"
300,"BIEN320",1,"Prerequisites: BIOL 112 and MECH 210.","[]","{}"
301,"BIEN330",1,"Prerequisite(s): BIEN 200, BIOL 112, and CHEM 212, or permission of the instructor","[]","{}"
302,"BIEN340",1,"Prerequisite(s): BIEN 314 and BIEN 360 or permission by instructor.","[]","{}"
306,"BIEN410",1,"Prerequisites: BIEN 310 and COMP 208, or permission of instructor.","[]","{}"
307,"BIEN414",1,"Prerequisite(s): MATH 262 and BIEN 314, or permission of the instructor","[]","{}"
308,"BIEN420",1,"Prerequisites: BIEN 340 and BIEN 390","[]","{}"
316,"BIEN510",1,"Prerequisite(s): BIEN 200, CHEM 212, and BIOL 112, or permission of instructor","[]","{}"
317,"BIEN545",1,"Prerequisite: BIEN 360, BIEN 314, or permission of the instructor","[]","{}"
318,"BIEN595",1,"Prerequisites: BIEN 410 and COMP 208, or permission of the instructor","[]","{}"
323,"BINF301",1,"Prerequisite(s): LSCI 202 or LSCI 204, and ANSC 326","[]","{}"
324,"BINF531",1,"Prerequisites: AEMA 310 or equivalent; LSCI 204, LSCI 211, LSCI 230, or equivalent","[]","{}"
327,"BIOC220",2,"Corequisite(s): BIOC 212 and CHEM222","[]","{}"
328,"BIOC311",1,"Prerequisites: BIOL 200, BIOL 201 or BIOC 212, CHEM 222 or CHEM 234","[]","{}"
329,"BIOC312",1,"Prerequisites: BIOC 311, BIOL 200, BIOL 201 or BIOC 212 ","[]","{}"
331,"BIOC396",1,"Prerequisites: MIMM 212 or BIOC 220 or BlOL 301 or an equivalent laboratory course in molecular and cell-biological methods, at least one term of undergraduate studies, and a CGPA of at least 3.0; or permission of instructor. A project proposal form must be completed by the student and instructor and approved by the course coordinator or his/her delegate before the start of the term. Instructors will list project-specific prerequisites with the project description.","[]","{}"
332,"BIOC404",1,"Prerequisites: CHEM 204, CHEM 214 or equivalent ","[]","{}"
333,"BIOC450",1,"Prerequisites: BIOC 311, BIOC 312 and/or sufficient organic chemistry.","[]","{}"
334,"BIOC454",1,"Prerequisites: BIOC 311, BIOC 312 or permission of instructor ","[]","{}"
335,"BIOC458",1,"Prerequisites: BIOC 212 or ANAT 212 or BIOL201, ANAT 262, one of PHGY 209 or BIOL 205; one of BIOC 312 or ANAT 365; BIOC 311 recommended","[]","{}"
339,"BIOC503",1,"Prerequisites: BIOC 311, BIOC 312 ","[]","{}"
349,"BIOL200",2,"Corequisite: CHEM 212 or equivalent, or CHEM 204","[]","{}"
351,"BIOL202",1,"Prerequisite: BIOL 200 or BIOL 219","[]","{}"
352,"BIOL205",1,"Prerequisites: BIOL 200 and PHYS 101 or 131 or equivalent","[]","{}"
353,"BIOL205",2,"Corequisite: ANAT 212/BIOC 212 or BIOL 201","[]","{}"
356,"BIOL216",1,"Prerequisites: BIOL 111 and BIOL 112 or equivalents","[]","{}"
357,"BIOL219",1,"Prerequisite(s): BIOL 112; CHEM 110 and CHEM 120; MATH 140, MATH 141 and MATH 133; PHYS 131 and PHYS 142; or the equivalents of these courses.","[]","{}"
360,"BIOL300",1,"Prerequisites: BIOL 219 or BIOL 200 plus either BIOL 201 or ANAT 212/BIOC 212","[]","{}"
361,"BIOL301",1,"Prerequisites: BIOL 200, BIOL 201 (or ANAT 212/BIOC 212); or BIOL 219","[]","{}"
362,"BIOL302",1,"Prerequisites: BIOL 200 or BIOL 219; BIOL 215, or permission of instructor.","[]","{}"
363,"BIOL303",1,"Prerequisites: BIOL 202 or BIOL 302; BIOL 219 or BIOL 200 plus either BIOL 201 or ANAT212/BIOC212","[]","{}"
365,"BIOL304",1,"Prerequisite: BIOL 205 and BIOL 215 or ENVR 202","[]","{}"
366,"BIOL305",1,"Prerequisite: BIOL 215 or both ENVR 200 and ENVR 202","[]","{}"
367,"BIOL306",1,"Prerequisite: PHYS 102 or PHYS 142 or CEGEP Physics, and one of the following: BIOL 216, NSCI 200, or PHGY 209, or permission of the instructor.","[]","{}"
368,"BIOL307",1,"Prerequisites: BIOL 215 and BIOL 216 (or equivalents), or permission of the instructor","[]","{}"
369,"BIOL308",1,"Prerequisite: BIOL 215 or both ENVR 200 and ENVR 202","[]","{}"
370,"BIOL309",1,"Prerequisites:BIOL 200, BIOL 201 (or ANAT 212/BIOC 212); or BIOL 219","[]","{}"
